position	link_query
108:2:2	rbb
108:2:3	nHr
108:3:2	$nA
108:3:4	btr
102:1:1	lhw
102:1:2	kvr
102:2:2	zwr
102:2:3	qbr
102:3:3	Elm
102:4:4	Elm
102:5:3	Elm
102:5:4	Elm
102:5:5	yqn
102:6:1	rAy
102:6:2	jHm
102:7:2	rAy
102:7:3	Eyn
102:7:4	yqn
102:8:2	sAl
102:8:5	nEm
107:1:1	rAy
107:1:2	%7Bl%7Ea*iY
107:1:3	k*b
107:1:4	dyn
107:2:2	%7Bl%7Ea*iY
107:2:3	dEE
107:2:4	ytm
107:3:2	HDD
107:3:4	TEm
107:3:5	skn
109:1:1	qwl
109:1:3	kfr
109:2:2	Ebd
109:2:4	Ebd
109:3:3	Ebd
109:3:5	Ebd
109:4:3	Ebd
109:4:5	Ebd
109:5:3	Ebd
109:5:5	Ebd
109:6:2	dyn
109:6:4	dyn
105:1:2	rAy
105:1:3	kyf
105:1:4	fEl
105:1:5	rbb
105:1:6	SHb
105:1:7	fyl
105:2:2	jEl
105:2:3	kyd
105:2:5	Dll
105:3:1	rsl
105:3:3	Tyr
105:3:4	Abl
105:4:1	rmy
105:4:2	Hjr
105:4:4	sjl
105:5:1	jEl
105:5:2	ESf
105:5:3	Akl
113:1:1	qwl
113:1:2	Ew*
113:1:3	rbb
113:1:4	flq
113:2:2	$rr
113:2:4	xlq
113:3:2	$rr
113:3:3	gsq
113:3:4	%3Ci*aA
113:3:5	wqb
113:4:2	$rr
113:4:3	nfv
113:4:5	Eqd
113:5:2	$rr
113:5:3	Hsd
113:5:4	%3Ci*aA
113:5:5	Hsd
114:1:1	qwl
114:1:2	Ew*
114:1:3	rbb
114:1:4	nws
114:2:1	mlk
114:2:2	nws
114:3:1	Alh
114:3:2	nws
114:4:2	$rr
114:4:3	wsws
114:4:4	xns
114:5:1	%7Bl%7Ea*iY
114:5:2	wsws
114:5:4	Sdr
114:5:5	nws
114:6:2	jnn
114:6:3	nws
112:1:1	qwl
112:1:3	Alh
112:1:4	AHd
112:2:1	Alh
112:2:2	Smd
112:3:2	wld
112:3:4	wld
112:4:2	kwn
112:4:4	kfA
112:4:5	AHd
